author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 413522,realtor,https://www.cian.ru/sale/flat/301734984/,Москва,sale,flat,7,12,2,78.0,-1,0,102999000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/301247847/,Москва,sale,flat,15,77,2,98.0,-1,0,90000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/301037762/,Москва,sale,flat,8,9,2,44.0,-1,0,10000000,Головинский, Лавочкина,16К1,Речной вокзал,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,-1,0,58000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ID 413522,realtor,https://www.cian.ru/sale/flat/301734996/,Москва,sale,flat,7,14,2,95.0,-1,0,166990000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Барно Турсунова,realtor,https://www.cian.ru/sale/flat/299059276/,Москва,sale,flat,5,17,2,51.1,-1,0,14980000,Останкинский,Березовая аллея,19к6,Ботанический сад,Апарт-комплекс Легендарный квартал
ID 413522,realtor,https://www.cian.ru/sale/flat/301735020/,Москва,sale,flat,10,21,2,54.0,-1,0,61800000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,-1,0,194940000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/298979500/,Москва,sale,flat,8,9,2,43.2,-1,0,6600000,,,22,Апрелевка,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822469/,Москва,sale,flat,3,21,2,51.0,-1,0,52000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 25751693,realtor,https://www.cian.ru/sale/flat/299894208/,Москва,sale,flat,12,12,2,77.4,-1,0,34868700,Таганский, Рогожский Вал,10,Площадь Ильича,Рогожский вал 12
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/301521883/,Москва,sale,flat,6,12,2,57.0,-1,0,10400000,, Харлампиева,44,Филатов Луг,Спортивный квартал
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/295277285/,Москва,sale,flat,6,6,2,122.3,-1,0,68000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ID 111240424,homeowner,https://www.cian.ru/sale/flat/300143306/,Москва,sale,flat,38,52,2,63.0,-1,0,36000000,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/301119738/,Москва,sale,flat,12,17,2,53.0,-1,0,9200000,Крюково,Зеленоград,к1546,Зеленоград — Крюково,
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734696/,Москва,sale,flat,5,14,2,129.5,-1,0,147800000,Хамовники, Усачева,11Е,Спортивная,Садовые кварталы
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734726/,Москва,sale,flat,3,6,2,127.4,-1,0,189000000,Хамовники,переулок Хилков,5,Парк Культуры,Особняк в Хилковом переулке
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301405653/,Москва,sale,flat,2,5,2,55.1,-1,0,14700000,Фили-Давыдково, Алексея Свиридова,13К2,Кунцевская,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300652339/,Москва,sale,flat,8,9,2,55.7,-1,0,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
ID 413522,realtor,https://www.cian.ru/sale/flat/301754881/,Москва,sale,flat,7,8,2,142.8,-1,0,213700000,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301458215/,Москва,sale,flat,4,9,2,45.8,-1,0,16900000,Алексеевский, Космонавтов,22,ВДНХ,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680518/,Москва,sale,flat,8,11,2,142.0,-1,0,229559749,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,-1,0,62000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Реалист,real_estate_agent,https://www.cian.ru/sale/flat/301562170/,Москва,sale,flat,4,5,2,53.5,-1,0,7500000,,,5,Прокшино,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478855/,Москва,sale,flat,3,5,2,69.3,-1,0,52000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
