author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296470579/,Москва,sale,flat,3,15,3,104.0,-1,0,65200000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/279871964/,Москва,sale,flat,7,10,3,190.0,-1,0,139000000,Басманный,Нижняя Красносельская ,35С50,Бауманская,TriBeCa APARTMENTS
Дмитрий Казаченко,realtor,https://www.cian.ru/sale/flat/301187444/,Москва,sale,flat,5,10,3,63.0,-1,0,13850000,Южное Бутово, Брусилова,33к1,Щербинка,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,116.8,-1,0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006012/,Москва,sale,flat,8,8,3,81.0,-1,0,50000000,Арбат, Арбат,51С1,Смоленская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301599185/,Москва,sale,flat,6,8,3,59.0,-1,0,18500000,Даниловский,Автозаводская ,11,Автозаводская,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539749/,Москва,sale,flat,8,8,3,81.0,-1,0,50000000,Арбат, Арбат,51С1,Смоленская,
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301559691/,Москва,sale,flat,2,4,3,140.0,-1,0,226688459,Мещанский,Рождественский бульвар,10/7С1,Трубная,
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/299508883/,Москва,sale,flat,5,9,3,54.0,-1,0,13300000,Ясенево,Новоясеневский проспект,21К1,Новоясеневская,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539712/,Москва,sale,flat,2,7,3,90.0,-1,0,80000000,Пресненский,Большой Козихинский переулок,19/6,Пушкинская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/297954913/,Москва,sale,flat,8,9,3,96.0,-1,0,89999999,Можайский, Вересаева,9,Давыдково,Аристократ
Правовой центр жилья,real_estate_agent,https://www.cian.ru/sale/flat/300525625/,Москва,sale,flat,6,11,3,70.6,-1,0,34300000,Пресненский,Глубокий переулок,1/2,Краснопресненская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/295370167/,Москва,sale,flat,2,6,3,110.5,-1,0,99000000,Пресненский,Малая Бронная ,32,Маяковская,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300871845/,Москва,sale,flat,3,15,3,95.0,-1,0,35000000,Пресненский,Зоологическая ,30С2,Баррикадная,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/300818798/,Москва,sale,flat,2,20,3,75.0,-1,0,29000000,Академический,Новочеремушкинская ,35,Профсоюзная,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301263975/,Москва,sale,flat,3,16,3,183.9,-1,0,275075400,Арбат,Малый Новопесковский переулок,8,Смоленская,Дом на Смоленской набережной
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779308/,Москва,sale,flat,5,6,3,200.8,-1,0,167552339,Тверской,1-й Колобовский переулок,14,Трубная,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301269319/,Москва,sale,flat,11,14,3,64.7,-1,0,17000000,Лосиноостровский, Коминтерна,22К1,Бабушкинская,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300749905/,Москва,sale,flat,5,9,3,117.0,-1,0,65500000,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
ID 1390606,real_estate_agent,https://www.cian.ru/sale/flat/299735585/,Москва,sale,flat,5,14,3,110.0,-1,0,198800000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301224529/,Москва,sale,flat,11,16,3,63.5,-1,0,15900000,Очаково-Матвеевское,Очаковское шоссе,6К4,Аминьевская,
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734699/,Москва,sale,flat,6,13,3,107.5,-1,0,160500000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734686/,Москва,sale,flat,8,15,3,138.57,-1,0,159355000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/295371756/,Москва,sale,flat,5,33,3,115.0,-1,0,125000000,Таганский,Котельническая набережная,1/15кВ,Китай-город,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293668197/,Москва,sale,flat,4,5,3,150.8,-1,0,219580001,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/295229141/,Москва,sale,flat,6,12,3,107.0,-1,0,160500000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/301352993/,Москва,sale,flat,8,9,3,68.3,-1,0,15500000,Ясенево,проезд Карамзина,1К1,Ясенево,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/295291816/,Москва,sale,flat,4,7,3,160.0,-1,0,199000000,Пресненский,Хлыновский тупик,4,Арбатская,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/288962979/,Москва,sale,flat,4,6,3,143.7,-1,0,167000000,Пресненский,Большой Гнездниковский переулок,3,Пушкинская,Респект
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300005990/,Москва,sale,flat,7,11,3,115.2,-1,0,54990000,Мещанский,Троицкая ,9К1,Цветной бульвар,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300149305/,Москва,sale,flat,14,17,3,119.0,-1,0,79000000,Арбат, Новый Арбат,29,Смоленская,
ID 14953,realtor,https://www.cian.ru/sale/flat/288452371/,Москва,sale,flat,13,14,3,92.0,-1,0,76999999,Таганский,Гончарная ,38,,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/299609442/,Москва,sale,flat,9,18,3,128.0,-1,0,68000000,Пресненский,Шмитовский проезд,20,Москва-Сити,Дом на Пресне
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/294106848/,Москва,sale,flat,4,6,3,145.0,-1,0,167000000,Пресненский,Большой Гнездниковский переулок,3,Пушкинская,Респект
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/296315046/,Москва,sale,flat,14,17,3,119.0,-1,0,79000000,Арбат, Новый Арбат,29,Смоленская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478872/,Москва,sale,flat,17,41,3,88.3,-1,0,58500000,Хорошевский,Ленинградский проспект,37/7,Аэропорт,Прайм Парк
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297085772/,Москва,sale,flat,4,12,3,135.0,-1,0,135000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/296204878/,Москва,sale,flat,4,12,3,135.0,-1,0,135000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296202679/,Москва,sale,flat,5,20,3,116.7,-1,0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478884/,Москва,sale,flat,9,36,3,70.6,-1,0,52000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300342112/,Москва,sale,flat,40,51,3,78.0,-1,0,37990000,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/294675252/,Москва,sale,flat,4,7,3,131.4,-1,0,108320299,Пресненский,Никитский бульвар,12,Арбатская,
Bespoke Estate,real_estate_agent,https://www.cian.ru/sale/flat/301159873/,Москва,sale,flat,22,53,3,130.0,-1,0,100000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
ID 47234297,homeowner,https://www.cian.ru/sale/flat/298474271/,Москва,sale,flat,2,24,3,90.0,-1,0,33600000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/287785206/,Москва,sale,flat,8,15,3,119.5,-1,0,155350000,Хамовники, Усачева,15кВ,Спортивная,Садовые кварталы
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/301012836/,Москва,sale,flat,4,14,3,114.0,-1,0,90000000,Дорогомилово,набережная Тараса Шевченко,1,Киевская,
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/299504460/,Москва,sale,flat,8,18,3,102.0,-1,0,111998000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
IZRAEV invest club,real_estate_agent,https://www.cian.ru/sale/flat/301024064/,Москва,sale,flat,23,29,3,79.3,-1,0,29999999,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299611000/,Москва,sale,flat,21,36,3,86.5,-1,0,49500000,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,Сердце Столицы
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301647592/,Москва,sale,flat,8,19,3,73.4,-1,0,46000000,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,Сердце Столицы
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/300364688/,Москва,sale,flat,9,10,3,60.0,-1,0,27400000,ЛУЧШАЯ кв-ра в е!Свежий ремонт3-комн. квартира,60 м²,,,
